time,low,high,open,close,volume
1557604800,6915.00,6980.00,6936.73,6969.69,483.23
1557608400,6934.01,7088.00,6969.68,7082.01,911.71
1557612000,7075.00,7350.00,7085.30,7240.00,4575.29
1557615600,7200.62,7464.13,7240.01,7219.95,5483.63
1557619200,6900.00,7324.45,7215.02,7075.22,5290.86
1557622800,7072.19,7233.51,7075.22,7189.67,1683.19
1557626400,7155.46,7270.76,7189.99,7163.67,1292.57
1557630000,7111.32,7226.31,7162.17,7159.99,1194.16
1557633600,7159.21,7235.00,7160.00,7197.74,510.47
1557637200,7192.99,7380.00,7194.87,7330.00,996.70
1557640800,7294.86,7443.32,7329.99,7392.59,1039.21
1557644400,7379.94,7568.32,7389.14,7527.53,1809.66
1557648000,7177.96,7581.82,7527.53,7433.75,3465.29
1557651600,7260.00,7566.10,7436.95,7381.19,2498.80
1557655200,7193.00,7465.46,7380.00,7267.84,1486.45
1557658800,6945.43,7305.07,7263.56,7186.03,3899.16
1557662400,7019.93,7197.42,7195.25,7172.95,1240.90
1557666000,7105.50,7245.00,7172.96,7109.21,972.28
1557669600,6905.00,7152.98,7109.32,6955.88,1420.94
1557673200,6755.00,7024.99,6957.52,6866.82,3817.56
1557676800,6800.41,6973.71,6868.29,6829.96,1365.00
1557680400,6827.15,6957.13,6829.94,6926.06,906.85
1557684000,6921.41,7081.71,6927.22,7078.01,906.43
1557687600,6958.63,7078.02,7078.00,7027.98,661.16
1557691200,6980.03,7178.79,7027.86,7174.01,820.13
1557694800,7046.00,7176.52,7173.99,7155.00,788.40
1557698400,6867.80,7159.99,7155.00,6987.00,2025.95
1557702000,6864.26,6991.74,6984.79,6979.76,920.43
1557705600,6864.93,7046.69,6979.24,7019.98,891.46
1557709200,7008.78,7084.29,7019.98,7029.51,515.50
1557712800,6980.00,7048.20,7027.37,7046.91,414.37
1557716400,7001.02,7069.72,7046.91,7016.99,358.44
1557720000,7005.15,7100.00,7016.98,7081.01,462.74
1557723600,7033.63,7149.71,7081.02,7042.57,517.20
1557727200,7014.51,7084.51,7044.96,7074.03,453.93
1557730800,6991.04,7074.03,7074.02,7024.39,185.07
1557734400,6999.99,7066.10,7029.62,7045.64,292.19
1557738000,7045.63,7123.83,7045.63,7094.03,263.64
1557741600,7045.08,7108.66,7093.98,7103.79,233.25
1557745200,7071.76,7325.00,7103.78,7263.54,1446.84
1557748800,7246.00,7350.00,7263.54,7343.04,1504.34
1557752400,7342.91,7435.29,7343.05,7385.29,1671.59
1557756000,7350.00,7543.53,7385.28,7516.14,2301.79
1557759600,7483.00,7960.00,7515.96,7830.00,9303.92
1557763200,7768.36,7980.42,7824.98,7923.91,4321.74
1557766800,7780.00,7975.00,7922.25,7821.64,2958.01
1557770400,7754.06,7905.00,7821.64,7865.52,1873.84
1557774000,7820.33,7989.50,7865.51,7902.11,1883.23
1557777600,7778.98,7943.76,7902.11,7868.55,1493.64
1557781200,7859.23,8195.00,7868.54,8105.85,3707.78
1557784800,7875.27,8175.00,8100.25,7934.74,3803.84
1557788400,7600.00,7936.42,7936.42,7824.93,6379.39
1557792000,7787.17,7982.32,7822.88,7906.08,1628.17
1557795600,7905.38,8082.44,7906.08,7986.56,2165.69
1557799200,7823.13,8010.00,7981.66,7912.99,1928.81
1557802800,7875.00,7989.99,7913.09,7963.14,1129.79
1557806400,7963.13,8062.00,7963.14,8017.01,1145.01
1557810000,7970.55,8088.26,8019.94,7990.08,1054.51
1557813600,7971.00,8060.01,7990.07,8059.32,557.03
1557817200,8059.31,8325.00,8059.31,8325.00,2195.53
1557820800,7891.37,8350.00,8325.00,7986.74,2742.71
1557824400,7980.03,8150.00,7986.74,8057.89,1387.34
1557828000,7912.56,8079.81,8051.43,8065.61,1637.99
1557831600,8010.10,8100.00,8064.50,8040.27,651.43
1557835200,8038.22,8226.63,8040.17,8214.99,1664.28
1557838800,8084.56,8211.14,8211.14,8155.09,1218.90
1557842400,7918.07,8195.00,8154.12,8058.65,2166.91
1557846000,7942.00,8094.84,8059.30,7950.56,1023.13
1557849600,7732.10,8033.00,7950.56,8010.82,2996.01
1557853200,7936.09,8061.84,8008.30,8061.84,1243.61
1557856800,7803.17,8061.83,8061.82,7820.00,2738.29
1557860400,7698.00,7838.29,7820.01,7779.86,3046.28
1557864000,7621.27,7877.00,7779.86,7722.08,1538.91
1557867600,7625.00,7835.26,7725.00,7779.54,1051.94
1557871200,7779.53,7954.51,7779.53,7925.00,1309.48
